Índice	N.º de pieza de DigiKey	Número de pieza del fabricante	Fabricante	Descripción	Referencia del cliente	Cantidad	Pedido atrasado	Precio por unidad	Precio total
1	1772-4187-ND	M2118-2545-SS	RAF Electronic Hardware	4.5MM HEX X 23MM X M2.5 THD		16	0	3,12 €	49,84 €
2	889-52500005-732-ND	52500005-732	Amphenol Audio	MACH SCREW PAN PHILLIP M2.5X0.45		16	0	0,23 €	3,63 €
3	1572-1476-ND	476CKH063M	Cornell Dubilier Knowles	CAP ALUM 47UF 20% 63V RADIAL TH		3	0	0,37 €	1,11 €
4	399-14010-1-ND	C315C104M5U5TA7301	KEMET	CAP CER 0.1UF 50V Z5U RADIAL		4	0	0,20 €	0,80 €
5	1N5817RLGOSCT-ND	1N5817RLG	onsemi	DIODE SCHOTTKY 20V 1A AXIAL		4	0	0,41 €	1,64 €
6	1N4148FS-ND	1N4148	onsemi	DIODE STANDARD 100V 200MA DO35		2	0	0,09 €	0,18 €
7	1568-1785-ND	DEV-14495	SparkFun Electronics	QWIIC ADAPTER		2	0	1,43 €	2,86 €
8	S7018-ND	PPTC201LFBN-RC	Sullins Connector Solutions	CONN HDR 20POS 0.1 TIN PCB		4	0	1,30 €	5,20 €
9	S7006-ND	PPTC081LFBN-RC	Sullins Connector Solutions	CONN HDR 8POS 0.1 TIN PCB		2	0	0,59 €	1,18 €
10	S7037-ND	PPPC041LFBN-RC	Sullins Connector Solutions	CONN HDR 4POS 0.1 GOLD PCB		2	0	0,51 €	1,02 €
11	455-1704-ND	B2B-PH-K-S	JST Sales America Inc.	CONN HEADER VERT 2POS 2MM		4	0	0,17 €	0,68 €
12	CP1-2503A-ND	SJ1-2503A	Same Sky (Formerly CUI Devices)	CONN JACK STEREO 2.5MM R/A		2	0	0,66 €	1,32 €
13	C503B-GAN-CB0F0791-ND	C503B-GAN-CB0F0791	Cree LED	LED GREEN CLEAR 5MM ROUND T/H		4	0	0,26 €	1,04 €
14	C503B-BCN-CV0Z0462CT-ND	C503B-BCN-CV0Z0462	Cree LED	LED BLUE CLEAR 5MM ROUND T/H		4	0	0,22 €	0,88 €
15	C503B-RAN-CZ0C0AA1-ND	C503B-RAN-CZ0C0AA1	Cree LED	LED RED CLEAR 5MM ROUND T/H		2	0	0,16 €	0,32 €
16	CF12JT68R0CT-ND	CF12JT68R0	Stackpole Electronics Inc	RES 68 OHM 5% 1/2W AXIAL		4	0	0,09 €	0,36 €
17	CF18JT180RCT-ND	CF18JT180R	Stackpole Electronics Inc	RES 180 OHM 5% 1/8W AXIAL		2	0	0,09 €	0,18 €
18	4.7KEBK-ND	CFR-12JB-52-4K7	YAGEO	RES 4.7K OHM 5% 1/6W AXIAL		4	0	0,09 €	0,36 €
19	1.0KEBK-ND	CFR-12JB-52-1K	YAGEO	RES 1K OHM 5% 1/6W AXIAL		4	0	0,09 €	0,36 €
20	CF18JT100RCT-ND	CF18JT100R	Stackpole Electronics Inc	RES 100 OHM 5% 1/8W AXIAL		10	0	0,04 €	0,38 €
21	CF18JT220RCT-ND	CF18JT220R	Stackpole Electronics Inc	RES 220 OHM 5% 1/8W AXIAL		10	0	0,04 €	0,38 €
22	SC1464-ND	35RAPC4BH3	Switchcraft Inc.	CONN JACK STEREO 3.5MM R/A		2	0	3,99 €	7,98 €
23	102-4775-ND	MP-3502	Same Sky (Formerly CUI Devices)	AUDIO PLUG, 3.5 MM, STRAIGHT, 2		4	0	1,20 €	4,80 €
24	1849-PR20204VBNN-ND	PR20204VBNN	METZ CONNECT USA Inc.	PIN HEADER, THR, SINGLE ROW, .10		2	0	0,09 €	0,18 €
25	S1012E-20-ND	PEC20SAAN	Sullins Connector Solutions	CONN HEADER VERT 20POS 2.54MM		4	0	1,22 €	4,88 €
26	S2012EC-20-ND	PREC020DAAN-RC	Sullins Connector Solutions	CONN HEADER VERT 40POS 2.54MM		2	0	0,93 €	1,86 €
27	900-0732517040-ND	732517040	Molex	SMA JACK VERTICAL PCB		4	0	3,50 €	14,00 €
28	931-1103-ND	CAB.0114	Taoglas Limited	"COAX CBL SMA TO SMA 2.9"""		4	0	6,67 €	26,68 €
29	ANT-STUB-433SM-ND	ANT-STUB-433SM	RF Solutions	RF ANT 433MHZ WHIP STR SMA 48MM		4	0	5,80 €	23,20 €
30	36-29300-ND	29300	Keystone Electronics	MACH SCREW PAN SLOTTED M2.5X0.45		4	0	0,43 €	1,72 €
31	RPC7085-ND	04M025045HN	Essentra Components	HEX NUT 4.83MM NYLON M2.5		5	0	0,09 €	0,47 €
32	1N5817RLGOSCT-ND	1N5817RLG	onsemi	DIODE SCHOTTKY 20V 1A AXIAL		12	0	0,33 €	3,92 €
33	S6104-ND	PPTC202LFBN-RC	Sullins Connector Solutions	CONN HDR 40POS 0.1 TIN PCB		2	0	2,41 €	4,82 €
34	4.7KEBK-ND	CFR-12JB-52-4K7	YAGEO	RES 4.7K OHM 5% 1/6W AXIAL		4	0	0,09 €	0,36 €
35	1568-1785-ND	DEV-14495	SparkFun Electronics	QWIIC ADAPTER		2	0	1,43 €	2,86 €
36	S1212E-04-ND	PEC04SFAN	Sullins Connector Solutions	CONN HEADER VERT 4POS 2.54MM		2	0	0,56 €	1,12 €
37	1528-4714-ND	4714	Adafruit Industries LLC	JST-PH 2-PIN JUMPER CABLE - 100M		2	0	0,85 €	1,70 €
38	145-50M025045P010-ND	50M025045P010	Essentra Components	MACH SCREW PAN PHILLIP M2.5X0.45		16	0	0,09 €	1,44 €
39	RPC7085-ND	04M025045HN	Essentra Components	HEX NUT 4.83MM NYLON M2.5		16	0	0,09 €	1,39 €
40	145-50M020040H012-ND	50M020040H012	Essentra Components	MACH SCREW FLAT SLOTTED M2X0.4		8	0	0,10 €	0,78 €
41	RPC7084-ND	04M020040HN	Essentra Components	HEX NUT 3.81MM NYLON M2		8	0	0,08 €	0,62 €
42	732-10549-ND	970110151	Würth Elektronik	HEX SPACER M2.5X0.45 STEEL 11MM		4	0	0,39 €	1,56 €
43	732-10383-ND	971060151	Würth Elektronik	HEX STANDOFF M2.5X0.45 STEEL 6MM		4	0	0,47 €	1,88 €
44	732-10586-ND	970180151	Würth Elektronik	HEX SPACER M2.5X0.45 STEEL 18MM		4	0	0,48 €	1,92 €
45	36-1024-ND	1024	Keystone Electronics	BATTERY HOLDER AA SMD		6	0	3,87 €	23,22 €
46	36-1012-ND	1012	Keystone Electronics	BATTERY HOLDER AA 2 CELL SMD		2	0	5,03 €	10,06 €
47	455-1704-ND	B2B-PH-K-S	JST Sales America Inc.	CONN HEADER VERT 2POS 2MM		2	0	0,17 €	0,34 €
48	1528-4714-ND	4714	Adafruit Industries LLC	JST-PH 2-PIN JUMPER CABLE - 100M		2	0	0,85 €	1,70 €
49	ANT-STUBR-433SM-ND	ANT-STUBR-433SM	RF Solutions	RF ANT 433MHZ WHIP RA SMA 42MM		2	0	5,49 €	10,98 €
50	1.0KEBK-ND	CFR-12JB-52-1K	YAGEO	RES 1K OHM 5% 1/6W AXIAL		4	0	0,09 €	0,36 €
51	490-6865-1-ND	LQW18AN13NJ00D	Murata Electronics	FIXED IND 13NH 600MA 0.13OHM SMD		4	0	0,12 €	0,48 €
52	490-6046-1-ND	GCM1885C1H180JA16D	Murata Electronics	CAP CER 18PF 50V C0G/NP0 0603		4	0	0,17 €	0,68 €
53	2073-USB4105-GF-ACT-ND	USB4105-GF-A	GCT	CONN RCP USB2.0 TYP C 24P SMD RA		4	0	0,72 €	2,88 €
54	311-5.1KGRCT-ND	RC0603JR-075K1L	YAGEO	RES 5.1K OHM 5% 1/10W 0603		10	0	0,01 €	0,13 €
55	CKN9116-ND	PTS645VL58-2 LFS	C&K	SWITCH TACTILE SPST-NO 0.05A 12V		5	0	0,39 €	1,95 €
								Subtotal	236,64 €
									
									
									
Índice	N.º de pieza de DigiKey	Número de pieza del fabricante	Fabricante	Descripción	Referencia del cliente	Cantidad	Pedido atrasado	Precio por unidad	Precio total
1	2646-JA3D-C1001163-ND	JA3D-C1001163	Jabil Inc.	PA 4035 CF FIL, 1.75 MM, 1KG		1	0	98,94 €	98,94 €
								Subtotal	98,94 €
